,Unnamed: 0,accuracy mean,accuracy std,precision mean,precision std,recall mean,recall std,roc_auc mean,roc_auc std,f1 mean,f1 std,runtime mean,runtime std
0,MajorityClass,0.946,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
1,XGBClassifier,0.948,0.01,0.463,0.206,0.317,0.203,0.848,0.081,0.364,0.195,0.009,0.001
2,MedPFNClassifier,0.947,0.006,0.4,0.436,0.117,0.13,0.87,0.071,0.166,0.17,0.355,0.076
3,MedPFNClassifier,0.95,0.008,0.533,0.393,0.2,0.145,0.915,0.057,0.276,0.191,2.463,0.171
4,MedPFNClassifier,0.953,0.01,0.58,0.091,0.5,0.197,0.919,0.06,0.516,0.113,11.283,0.169
5,RandomForestClassifier,0.949,0.011,0.35,0.391,0.167,0.183,0.894,0.078,0.222,0.242,0.198,0.018
6,CatBoostGrid,0.949,0.006,0.5,0.447,0.133,0.125,0.901,0.061,0.194,0.164,49.633,5.548
7,XGBoostGrid,0.946,0.0,0.0,0.0,0.0,0.0,0.871,0.054,0.0,0.0,35.944,2.225
8,LogisticRegressionClassifier,0.939,0.014,0.393,0.245,0.217,0.15,0.825,0.096,0.269,0.169,0.011,0.002
9,TabPFNClassifier,0.946,0.018,0.373,0.397,0.2,0.194,0.906,0.057,0.259,0.261,3.141,0.208
10,TabForestPFNClassifier,0.936,0.026,0.411,0.276,0.317,0.189,0.894,0.042,0.35,0.217,21.716,2.497
